inf,gerund,participle,eng-hint,hint-to-eng,eng-inf,eng-gerund,eng-1,eng-3,eng-p,present-1s,present-2s,present-3s,present-1p,present-2p,present-3p
fazer,fazendo,feito,,0,,,make/do,,,faço,fazes,faz,fazemos,fazeis,fazem
ter,tendo,tido,,0,,,have,has,,tenho,tens,tem,temos,tendes,têm
pegar,pegando,pegado,,0,,,take,,,pego,pegas,pega,pegamos,pegais,pegam
ser,sendo,sido,"simple, essence",0,to be,being,am,is,are,sou,és,é,somos,sois,são
estar,estando,estado,as a temp. state or condition,0,to be,being,am,is,are,estou,estás,está,estamos,estais,estão
saber,sabendo,sabido,as a fact,0,,,know,,,sei,sabes,sabe,sabemos,sabeis,sabem
conhecer,conhecendo,conhecido,a person/place/thing or meet,0,,,know/meet,,,conheço,conheces,conhece,conhecemos,conheceis,conhecem
entender,entendendo,entendido,,0,,,understand,,,entendo,entendes,entende,entendemos,entendeis,entendem
pensar,pensando,pensado,as a fact,0,,,think,,,penso,pensas,pensa,pensamos,pensais,pensam
achar,achando,achado,more guess/thought,0,,,think/guess,thinks/guesses,,acho,achas,acha,achamos,achais,acham
ir,indo,ido,,0,,,go,goes,,vou,vais,vai,vamos,ides,vão
sair,saindo,saído,outward,0,,,leave/go out,leaves/goes out,,saio,sais,sai,saímos,saís,saem
partir,partindo,partido,,0,,,go/leave,goes/leaves,,parto,partes,parte,partimos,partis,partem
andar,andando,andado,also travel/ride/walk,0,,,go,goes,,ando,andas,anda,andamos,andais,andam
caminhar,caminhando,caminhado,,0,,,walk,,,caminho,caminhas,caminha,caminhamos,caminhais,caminham
chegar,chegando,chegado,,0,,,arrive,,,chego,chegas,chega,chegamos,chegais,chegam
vir,vindo,vindo,,0,,,come,,,venho,vens,vem,vimos,vindes,vêm
voltar,voltando,voltado,,0,,,come back,comes back,,volto,voltas,volta,voltamos,voltais,voltam
falar,falando,falado,,0,,,speak,,,falo,falas,fala,falamos,falais,falam
dizer,dizendo,dito,,0,,,say/tell,,,digo,dizes,diz,dizemos,dizeis,dizem
conversar,conversando,conversado,,0,,,converse,,,converso,conversas,conversa,conversamos,conversais,conversam
usar,usando,usado,,0,,,use,,,uso,usas,usa,usamos,usais,usam
colocar,colocando,colocado,,0,,,put/place,,,coloco,colocas,coloca,colocamos,colocais,colocam
botar,botando,botado,???,0,,,wear,,,boto,botas,bota,botamos,botais,botam
calçar,calçando,calçado,shoes or gloves,0,,,wear,,,calço,calças,calça,calçamos,calçais,calçam
vestir,vestindo,vestido,clothes,0,,,wear,,,visto,vestes,veste,vestimos,vestis,vestem
tirar,tirando,tirado,,0,,,take off, takes off,,tiro,tiras,tira,tiramos,tirais,tiram
ver,vendo,visto,,0,,,see,,,vejo,vês,vê,vemos,vedes,veem
olhar,olhando,olhado,,0,,,look at, looks at,,olho,olhas,olha,olhamos,olhais,olham
ajudar,ajudando,ajudado,,0,,,help,,,ajudo,ajudas,ajuda,ajudamos,ajudais,ajudam
mostrar,mostrando,mostrado,,0,,,show,,,mostro,mostras,mostra,mostramos,mostrais,mostram
pagar,pagando,pagado,,0,,,pay,,,pago,pagas,paga,pagamos,pagais,pagam
cuidar,cuidando,cuidado,,0,,,take care of,takes care of,,cuido,cuidas,cuida,cuidamos,cuidais,cuidam
esquecer,esquecendo,esquecido,,0,,,forget,,,esqueço,esqueces,esquece,esquecemos,esqueceis,esquecem
decidir,decidindo,decidido,,0,,,decide,,,decido,decides,decide,decidimos,decidis,decidem
medir,medindo,medido,,0,,,measure,,,meço,medes,mede,medimos,medis,medem
vender,vendendo,vendido,,0,,,sell,,,vendo,vendes,vende,vendemos,vendeis,vendem
correr,correndo,corrido,,0,,running,run,,,corro,corres,corre,corremos,correis,correm
comprar,comprando,comprado,,0,,,buy,,,compro,compras,compra,compramos,comprais,compram
terminar,terminando,terminado,,0,,,finish/end,,,termino,terminas,termina,terminamos,terminais,terminam
trabalhar,trabalhando,trabalhado,,0,,,work,,,trabalho,trabalhas,trabalha,trabalhamos,trabalhais,trabalham
começar,começando,começado,,0,,,begin/start,,,começo,começas,começa,começamos,começais,começam
dar,dando,dado,,0,,,give,,,dou,dás,dá,damos,dais,dão
cair,caindo,caído,,0,,,fall,,,caio,cais,cai,caímos,caís,caem
jogar,jogando,jogado,,0,,,play,,,jogo,jogas,joga,jogamos,jogais,jogam
ganhar,ganhando,ganhado,or be gifted,0,,winning,win/gain,,,ganho,ganhas,ganha,ganhamos,ganhais,ganham
perder,perdendo,perdido,,0,,,lose/misplace,,,perco,perdes,perde,perdemos,perdeis,perdem
dormir,dormindo,dormido,,0,,,sleep,,,durmo,dormes,dorme,dormimos,dormis,dormem
tocar,tocando,tocado,,0,,,touch,,,toco,tocas,toca,tocamos,tocais,tocam
ouvir,ouvindo,ouvido,,0,,,listen,,,ouço,ouves,ouve,ouvimos,ouvis,ouvem
lavar,lavando,lavado,,0,,,wash,,,lavo,lavas,lava,lavamos,lavais,lavam
errar,errando,errado,,0,,,err,,,erro,erras,erra,erramos,errais,erram
abrir,abrindo,aberto,,0,,,open,,,abro,abres,abre,abrimos,abris,abrem
aceitar,aceitando,aceitado/aceito,,0,,,accept/take/agree,,,aceito,aceitas,aceita,aceitamos,aceitais,aceitam
doer,doendo,doído,,0,,,hurt,,,doo,dóis,dói,doemos,doeis,doem
cozinhar,cozinhando,cozinhado,,0,,,cook,,,cozinho,cozinhas,cozinha,cozinhamos,cozinhais,cozinham
comer,comendo,comido,,0,,,eat,,,como,comes,come,comemos,comeis,comem
beber,bebendo,bebido,,0,,,drink,,,bebo,bebes,bebe,bebemos,bebeis,bebem
pedir,pedindo,pedido,,0,,,ask/order,,,peço,pedes,pede,pedimos,pedis,pedem
ferver,fervendo,fervido,,0,,,boil,,,fervo,ferves,ferve,fervemos,ferveis,fervem
fritar,fritando,fritado,,0,,,fry,fries,,frito,fritas,frita,fritamos,fritais,fritam
precisar,precisando,precisado,,0,,,need,,,preciso,precisas,precisa,precisamos,precisais,precisam
gostar,gostando,gostado,,0,,,like,,,gosto,gostas,gosta,gostamos,gostais,gostam
amar,amando,amado,,0,,,love,,,amo,amas,ama,amamos,amais,amam
ler,lendo,lido,,0,,,read,,,leio,lês,lê,lemos,ledes,leem
escrever,escrevendo,escrito,,0,,,write,,,escrevo,escreves,escreve,escrevemos,escreveis,escrevem
encontrar,encontrando,encontrado,,0,,,find,,,encontro,encontras,encontra,encontramos,encontrais,encontram
salvar,salvando,salvado/salvo,,0,,,save,,,salvo,salvas,salva,salvamos,salvais,salvam
esperar,esperando,esperado,,0,,,wait,,,espero,esperas,espera,esperamos,esperais,esperam
trazer,trazendo,trazido,,0,,,bring,,,trago,trazes,traz,trazemos,trazeis,trazem
seguir,seguindo,seguido,,0,,,follow,,,sigo,segues,segue,seguimos,seguis,seguem
desculpar,desculpando,desculpado,,0,,,forgive,,,desculpo,desculpas,desculpa,desculpamos,desculpais,desculpam
mudar,mudando,mudado,,0,,,change,,,mudo,mudas,muda,mudamos,mudais,mudam
ouvir,ouvindo,ouvido,,0,,,listen,,,ouço,ouves,ouve,ouvimos,ouvis,ouvem
parar,parando,parado,,0,,stopping,stop,,,paro,paras,para,paramos,parais,param
ligar,ligando,ligado,"as in phone, or to turn on",0,,,call,,,ligo,ligas,liga,ligamos,ligais,ligam
